building_id,hour,kwh_usage
dinosaur_stadium,16,2.377579
down_gymnaisum,23,4.694078
mauve_aquarium,19,14.011120
Green Stadium,22,3.333505
bob's_taco_truck,19,5.335050
blue_gymnaisum,9,2.850748
white_taco_truck,4,3.585224
fancy_birdhouse,7,4.364590
shiny_new_market,21,2.573505
old_warehouse,14,1.114661
Green Warehouse,13,4.679846
fancy_hospital,22,4.907940
small_base,21,1.820911
mauve_museum,11,9.779293
green_hydroelectric_plant,9,1.261524
mauve_school,3,2.999434
blue_gymnaisum,12,3.382341
rusty_old_aquarium,11,4.380133
the_best_school,20,5.106578
down_market,22,1.247532
fancy_taco_truck,23,5.295839
secret_warehouse,9,-5.455672
down_windmill,15,11.172372
savvy_house,8,9.137514
the_best_hospital,1,-2.417796
Dog Houseboat,8,1.218682
blue_gymnaisum,0,2.160540
dinosaur_houseboat,2,10.876299
secret_museum,13,19.135892
red_houseboat,23,7.990351
mauve_houseboat,5,8.638317
red_museum,18,4.152428
bob's_aquarium,2,5.367501
blue_planetarium,22,1.111100
secret_museum,12,17.133483
dog_warehouse,10,8.399367
savvy_opera_house,7,8.642221
the_best_warehouse,18,-7.810793
white_office,9,3.500159
the_best_house,22,2.789941
savvy_windmill,8,8.752918
the_best_aquarium,7,-2.856546
Old Stadium,20,10.046252
rusty_old_planetarium,17,2.724068
green_stadium,1,-5.162422
small_aquarium,8,5.075091
Rusty Old School,19,8.655813
up_planetarium,9,11.127080
dinosaur_planetarium,7,0.961580
rusty_old_birdhouse,17,1.099047
down_base,22,5.294289
Up Hospital,2,1.645341
bob's_aquarium,4,3.602924
the_best_windmill,5,8.379345
red_planetarium,17,3.320963
down_market,13,3.053706
down_hydroelectric_plant,6,1.300381
down_houseboat,21,-3.198689
secret_hospital,0,2.715888
Mauve Stadium,14,1.401470
rusty_old_opera_house,19,-8.914821
green_hydroelectric_plant,10,2.159337
fancy_market,11,2.932239
shiny_new_warehouse,1,1.971120
Down Gymnaisum,19,-5.459953
old_planetarium,0,2.709636
dinosaur_aquarium,22,4.964030
dog_stadium,23,2.748825
Blue Opera House,5,4.018003
the_best_houseboat,13,-18.33344
down_market,14,3.467262
Secret Office,22,8.431449
dog_hospital,7,-7.430701
secret_office,21,7.143100
Down Birdhouse,12,5.321608
shiny_new_hospital,16,1.844607
red_school,7,3.420358
small_birdhouse,1,2.661038
Red Hydroelectric Plant,16,5.918538
Shiny New Market,9,3.121473
shiny_new_museum,18,12.811472
red_stadium,4,4.337094
small_office,2,3.411989
the_best_birdhouse,4,7.985965
green_base,5,4.850355
fancy_taco_truck,6,6.628579
up_school,17,-16.998529
green_windmill,19,-5.899123
down_gymnaisum,10,5.799769
shiny_new_stadium,19,2.879009
dinosaur_aquarium,21,4.108886
white_windmill,3,6.141064
secret_houseboat,14,4.936671
down_aquarium,22,2.196769
the_best_base,7,8.152919
dog_windmill,22,4.863216
Mauve Warehouse,13,1.750969
rusty_old_planetarium,1,1.681226
dinosaur_gymnaisum,9,-3.562039
blue_school,11,3.432358
up_windmill,22,1.353122
down_opera_house,10,4.407459
Bob'S Hydroelectric Plant,4,3.912174
mauve_birdhouse,12,13.104891
savvy_hospital,3,4.351367
blue_house,19,2.273762
red_hospital,7,7.156304
blue_museum,5,5.985861
green_hydroelectric_plant,14,4.978448
down_windmill,0,4.697994
down_aquarium,5,-3.547903
Dog Birdhouse,22,9.582363
rusty_old_birdhouse,18,0.628148
old_birdhouse,10,16.725844
mauve_windmill,6,-6.20927
the_best_base,22,8.074246
up_base,23,-4.529996
savvy_hospital,23,8.944727
The Best Birdhouse,0,6.549475
dinosaur_planetarium,4,-1.309298
red_houseboat,6,5.084240
blue_houseboat,20,8.404977
down_office,16,1.460481
red_hydroelectric_plant,17,5.511469
Old Taco Truck,22,1.921477
the_best_stadium,0,0.977911
the_best_opera_house,16,7.887910
blue_planetarium,5,1.568649
small_school,21,3.020740
rusty_old_opera_house,9,5.718524
down_windmill,22,7.470542
bob's_hydroelectric_plant,12,8.218967
dog_school,9,4.855463
down_birdhouse,11,4.394623
Up Base,1,6.425149
savvy_taco_truck,3,4.330683
red_planetarium,9,2.655354
the_best_planetarium,22,5.175078
fancy_houseboat,9,2.225878
down_museum,22,6.240476
down_aquarium,4,4.292219
small_birdhouse,6,2.064731
dinosaur_warehouse,9,3.429082
up_birdhouse,18,12.384084
Dinosaur Warehouse,14,8.178466
the_best_warehouse,11,-17.680403
secret_planetarium,7,2.861956
mauve_market,22,4.011077
red_school,6,-4.44216
small_windmill,15,10.523993
secret_birdhouse,4,5.155318
up_opera_house,17,2.390207
shiny_new_houseboat,22,-2.476034
fancy_warehouse,13,6.014067
white_hospital,17,2.847768
blue_market,21,3.791573
green_birdhouse,21,8.574914
fancy_office,5,1.963998
savvy_office,12,9.290129
shiny_new_stadium,0,1.094262
red_planetarium,20,2.655547
down_school,0,3.741536
Savvy Houseboat,9,2.322235
mauve_taco_truck,6,8.853268
old_birdhouse,16,-7.981299
Dinosaur Birdhouse,23,4.843907
rusty_old_base,1,4.572793
white_gymnaisum,7,7.383600
blue_house,21,2.959776
mauve_birdhouse,10,8.325259
savvy_stadium,16,10.811525
old_planetarium,3,5.016480
Rusty Old Houseboat,12,3.192761
the_best_market,22,0.647730
up_school,22,10.260807
red_hydroelectric_plant,6,3.888131
rusty_old_aquarium,5,9.522016
red_warehouse,15,10.914057
up_taco_truck,16,5.572709
white_house,10,6.288358
old_school,13,11.959468
dog_hydroelectric_plant,20,-2.684805
the_best_office,22,10.267444
fancy_house,15,3.562954
old_windmill,16,9.512368
the_best_hospital,21,1.785473
mauve_taco_truck,14,7.174966
dog_opera_house,10,4.216879
mauve_birdhouse,21,4.258295
blue_planetarium,9,1.198592
down_opera_house,23,4.462313
Up Hospital,6,-2.297699
dinosaur_aquarium,15,7.967609
secret_taco_truck,22,7.226851
dinosaur_taco_truck,3,3.091218
secret_base,14,14.371732
down_windmill,11,4.255408
secret_houseboat,10,5.050650
white_taco_truck,13,4.376289
mauve_museum,3,9.265386
secret_base,8,10.794028
bob's_school,7,-1.343392
Savvy Base,20,1.663374
fancy_houseboat,14,-2.724817
white_gymnaisum,12,3.605846
blue_taco_truck,10,5.873905
Dog Aquarium,12,3.221520
old_warehouse,11,1.936378
the_best_gymnaisum,4,3.700781
white_hospital,23,-1.60588
secret_stadium,9,4.293455
old_windmill,2,7.838112
dinosaur_warehouse,8,2.605049
savvy_museum,1,1.143506
savvy_windmill,5,4.823835
small_aquarium,21,7.154791
white_birdhouse,2,0.549287
Dog Stadium,2,4.043306
green_office,11,3.521996
fancy_hydroelectric_plant,8,8.132051
old_gymnaisum,23,3.942751
bob's_taco_truck,15,13.581147
rusty_old_stadium,17,15.720839
bob's_school,15,2.471300
fancy_warehouse,0,2.375773
savvy_hydroelectric_plant,21,5.475197
green_stadium,20,4.714424
the_best_planetarium,10,6.322554
small_market,22,9.743771
green_hospital,19,3.700998
Red House,14,9.768382
old_office,3,9.525901
Mauve School,23,3.020202
rusty_old_office,13,11.165355
small_office,13,6.314574
the_best_museum,4,6.435731
small_planetarium,7,4.383504
blue_museum,11,10.368115
savvy_planetarium,9,-6.047837
green_warehouse,17,1.926278
green_windmill,20,4.821405
red_birdhouse,20,6.577785
dinosaur_planetarium,10,1.677872
up_opera_house,5,1.822155
green_taco_truck,7,6.070637
blue_hospital,22,-1.727282
shiny_new_school,3,3.216112
green_stadium,10,4.538894
the_best_house,11,4.760572
blue_hydroelectric_plant,8,4.751970
small_houseboat,16,2.871076
savvy_museum,8,1.485993
bob's_market,5,6.201644
white_office,3,-3.095123
red_school,0,2.771590
green_hydroelectric_plant,3,3.252165
savvy_taco_truck,1,4.165675
blue_school,12,4.243461
up_planetarium,10,12.081853
dinosaur_houseboat,16,19.147071
secret_office,15,13.732915
the_best_warehouse,8,8.324641
mauve_gymnaisum,3,3.929991
down_houseboat,20,3.169411
old_hospital,6,1.858340
blue_market,6,-3.134011
the_best_market,14,2.346352
bob's_stadium,12,1.802128
bob's_taco_truck,6,4.707771
savvy_office,8,3.873630
dinosaur_houseboat,9,6.083596
Old Birdhouse,7,8.824161
Blue Opera House,4,4.756007
shiny_new_school,9,2.269316
white_house,7,9.917293
dinosaur_office,6,2.352849
rusty_old_house,15,12.552326
mauve_market,14,7.775350
old_office,14,14.458350
savvy_warehouse,8,3.619139
green_houseboat,2,8.170990
mauve_base,8,8.305202
small_stadium,9,6.304819
the_best_aquarium,22,3.279617
